Resolution;Average sim time (ns);
10;8700;0,0087
20;27800;0,0278
30;61100;0,0611
40;107400;0,1074
50;170900;0,1709
60;239400;0,2394
70;331100;0,3311
80;543300;0,5433
90;971500;0,9715
100;1223500;1,2235
110;1441200;1,4412
120;1619400;1,6194
130;1803100;1,8031
140;2195200;2,1952
150;2327400;2,3274
160;2898900;2,8989
170;3496800;3,4968
180;3501700;3,5017
190;4002200;4,0022
200;4261800;4,2618
210;4460000;4,46
220;4821800;4,8218
230;5142000;5,142
240;5481100;5,4811
250;5814800;5,8148
260;6363400;6,3634
270;6605700;6,6057
280;6900800;6,9008
290;7233100;7,2331
300;7671200;7,6712
310;8051300;8,0513
320;8532700;8,5327
330;8959400;8,9594
340;9391100;9,3911
350;9962200;9,9622
360;1,04E+07;10,4096
370;1,09E+07;10,896
380;1,14E+07;11,4047
390;1,22E+07;12,2313
400;1,25E+07;12,4928
410;1,32E+07;13,1564
420;1,36E+07;13,5956
430;1,42E+07;14,2352
440;1,48E+07;14,7768
450;1,54E+07;15,3736
460;1,60E+07;15,9901
470;1,66E+07;16,6273
480;1,73E+07;17,313
490;1,80E+07;17,9926
500;1,88E+07;18,7962
510;1,94E+07;19,4006
520;1,86E+07;18,5945
530;1,94E+07;19,4461
540;2,03E+07;20,275
550;2,11E+07;21,0858
560;2,20E+07;22,0181
570;2,29E+07;22,9361
580;2,39E+07;23,9041
590;2,51E+07;25,1292
600;2,62E+07;26,1968
610;2,70E+07;26,9653
620;2,79E+07;27,9126
630;2,88E+07;28,7624
640;2,97E+07;29,7457
650;3,05E+07;30,4688
660;3,18E+07;31,8079
670;3,27E+07;32,7174
680;3,34E+07;33,3942
690;3,46E+07;34,6487
700;3,58E+07;35,7619
710;3,61E+07;36,1425
720;3,72E+07;37,1577
730;3,82E+07;38,2047
740;3,91E+07;39,0741
750;4,02E+07;40,1847
760;4,12E+07;41,1941
770;4,23E+07;42,2572
780;4,32E+07;43,2078
790;4,46E+07;44,5635
800;4,57E+07;45,7044
810;4,65E+07;46,5103
820;4,77E+07;47,7267
830;4,89E+07;48,8725
840;4,98E+07;49,8394
850;5,10E+07;50,9888
860;5,24E+07;52,3868
870;5,36E+07;53,5572
880;5,54E+07;55,4153
890;5,61E+07;56,1174
900;5,72E+07;57,1731
910;5,85E+07;58,4912
920;6,01E+07;60,1214
930;6,13E+07;61,3007
940;6,22E+07;62,1533
950;6,46E+07;64,55
960;6,63E+07;66,2982
970;6,60E+07;66,0485
980;6,74E+07;67,364496
990;7,19E+07;71,9122
1000;7,07E+07;70,7216
