Resolution;Average sim time (ns);
10;12017;0,012017
20;63173;0,063173
30;159976;0,159976
40;307379;0,307379
50;480253;0,480253
60;710662;0,710662
70;973512,94;0,97351294
80;1274160;1,27416
90;1612045;1,612045
100;1996793;1,996793
110;2421378;2,421378
120;2902798;2,902798
130;3435027;3,435027
140;4026882;4,026882
150;4645317;4,645317
160;5356474;5,356474
170;6126608;6,126608
180;6978516;6,978516
190;7840521;7,840521
200;8833197;8,833197
210;1,00E+07;10,03221
220;1,11E+07;11,090606
230;1,23E+07;12,31872
240;1,37E+07;13,674173
250;1,51E+07;15,070828
260;1,69E+07;16,893012
270;1,86E+07;18,559976
280;2,03E+07;20,26473
290;2,22E+07;22,182712
300;2,42E+07;24,150074
310;2,63E+07;26,27523
320;2,86E+07;28,62997
330;3,10E+07;30,992184
340;3,36E+07;33,564188
350;3,83E+07;38,3061
360;4,09E+07;40,948496
370;4,37E+07;43,664524
380;4,66E+07;46,604292
390;4,96E+07;49,559128
400;5,26E+07;52,56124
410;5,59E+07;55,895412
420;5,90E+07;58,99796
430;6,24E+07;62,39964
440;6,57E+07;65,669296
450;6,88E+07;68,773352
460;7,17E+07;71,715528
470;7,45E+07;74,496616
480;7,73E+07;77,252992
490;8,01E+07;80,103744
500;8,27E+07;82,66588
510;8,54E+07;85,437008
520;7,52E+07;75,159656
530;7,79E+07;77,896368
540;8,06E+07;80,627368
550;8,33E+07;83,273528
560;8,61E+07;86,051976
570;8,88E+07;88,802976
580;9,17E+07;91,671912
590;9,46E+07;94,582592
600;9,74E+07;97,409456
610;1,00E+08;100,346272
620;1,03E+08;103,435088
630;1,07E+08;107,32556
640;1,11E+08;110,551736
650;1,14E+08;113,7524
660;1,17E+08;117,430576
670;1,20E+08;120,0936
680;1,23E+08;123,368152
690;1,27E+08;126,715168
700;1,30E+08;130,336096
710;1,34E+08;133,844664
720;1,37E+08;137,461792
730;1,41E+08;140,742288
740;1,45E+08;144,817072
750;1,48E+08;148,483888
760;1,52E+08;152,31328
770;1,56E+08;155,839904
780;1,60E+08;159,877312
790;1,65E+08;164,962032
800;1,68E+08;168,056304
810;1,72E+08;172,17032
820;1,76E+08;176,182912
830;1,80E+08;180,286976
840;1,85E+08;184,52208
850;1,89E+08;188,720432
860;1,93E+08;193,156192
870;1,97E+08;197,182688
880;2,02E+08;201,931792
890;2,07E+08;207,315264
900;2,12E+08;211,732336
910;2,15E+08;215,031456
920;2,19E+08;218,827632
930;2,24E+08;223,739968
940;2,29E+08;228,592
950;2,33E+08;232,948688
960;2,36E+08;236,490704
970;2,40E+08;240,327904
980;2,42E+08;242,442672
990;2,46E+08;246,35632
1000;2,51E+08;251,26288
