Partikler;Average sim time (ns);
30;6442100;6,4421
60;715600;0,7156
90;1568000;1,568
120;922500;0,9225
150;1266100;1,2661
180;1406200;1,4062
210;1212800;1,2128
240;2160900;2,1609
270;2806900;2,8069
300;2167900;2,1679
330;1782000;1,782
360;3340600;3,3406
390;4808700;4,8087
420;2681400;2,6814
450;4895900;4,8959
480;5222800;5,2228
510;5063900;5,0639
540;4707700;4,7077
570;8537400;8,5374
600;9791700;9,7917
630;5129900;5,1299
660;3837400;3,8374
690;3828300;3,8283
720;5001900;5,0019
750;7414500;7,4145
780;1,07E+07;10,7475
810;6102400;6,1024
840;4958600;4,9586
870;8390300;8,3903
900;5843600;5,8436
930;2,77E+07;27,6647
960;1,14E+07;11,3763
990;6709900;6,7099
1020;8419200;8,4192
1050;1,38E+07;13,7554
1080;2,08E+07;20,8078
1110;9431900;9,4319
1140;9264900;9,2649
1170;1,36E+07;13,6008
1200;1,03E+07;10,2732
1230;1,09E+07;10,9208
1260;1,79E+07;17,9078
1290;3,24E+07;32,4044
1320;2,44E+07;24,371
1350;1,37E+07;13,7063
1380;1,51E+07;15,0784
1410;1,67E+07;16,6836
1440;1,64E+07;16,4146
1470;1,76E+07;17,5628
1500;2,10E+07;21,0107
1530;4,82E+07;48,1886
1560;5,45E+07;54,4744
1590;3,49E+07;34,9236
1620;2,31E+07;23,1172
1650;2,35E+07;23,5429
1680;2,42E+07;24,2065
1710;2,61E+07;26,1024
1740;2,67E+07;26,6574
1770;2,69E+07;26,8513
1800;2,94E+07;29,3715
1830;7,90E+07;79,024896
1860;8,03E+07;80,266704
1890;3,42E+07;34,2165
1920;3,56E+07;35,607
1950;3,61E+07;36,1053
1980;3,73E+07;37,3288
2010;4,00E+07;39,9608
2040;4,30E+07;42,9576
2070;4,35E+07;43,534
2100;8,14E+07;81,379904
2130;1,35E+08;134,860192
2160;8,66E+07;86,6122
2190;5,02E+07;50,2345
2220;5,42E+07;54,2271
2250;5,22E+07;52,2264
2280;5,95E+07;59,4951
2310;5,86E+07;58,6103
2340;5,86E+07;58,6397
2370;6,18E+07;61,7825
2400;7,12E+07;71,162304
2430;6,54E+07;65,3693
2460;6,88E+07;68,756
2490;7,50E+07;74,989
2520;7,35E+07;73,4906
2550;7,70E+07;77,041696
2580;8,07E+07;80,655504
2610;8,15E+07;81,4514
2640;8,40E+07;84,0468
2670;8,39E+07;83,927
2700;9,02E+07;90,239
2730;9,34E+07;93,3676
2760;9,44E+07;94,388896
2790;1,01E+08;100,682896
2820;1,08E+08;107,8406
2850;1,26E+08;125,969504
2880;1,13E+08;113,223296
2910;1,13E+08;113,4722
2940;1,18E+08;117,7784
2970;1,20E+08;120,092096
3000;1,24E+08;123,6482
